id,full_name,MaleFemale,age,region,salary,commission,total_compensation,month,employee_type
N-001,Miguel Perez,Femenino,46,Tamaulipas,24293.69,9534.38,33828.07,Enero,Tiempo Completo
N-002,Daniela Lopez,Masculino,46,Sonora,11621.06,1608.71,13229.77,Enero,Tiempo Completo
N-003,Miguel Sanchez,Femenino,25,Tamaulipas,10248.21,8292.31,18540.519999999997,Enero,Becario
N-004,Sofia Garcia,Masculino,29,Veracruz,13146.99,6079.22,19226.21,Enero,Por Hora
N-005,Rodrigo Perez,Masculino,55,Puebla,11508.94,8753.61,20262.550000000003,Enero,Por Hora
N-006,Sofia Hernandez,Femenino,64,Michoacán,7106.21,8744.81,15851.02,Enero,Tiempo Completo
N-007,Maria Hernandez,Femenino,50,Sonora,5937.54,3131.42,9068.96,Enero,Becario
N-008,Claudia Perez,Femenino,21,Guerrero,18688.11,5580.98,24269.09,Enero,Becario
N-009,Daniela Lopez,Femenino,53,Nuevo León,22631.35,7271.72,29903.07,Enero,Tiempo Completo
N-010,Maria Rodriguez,Masculino,35,Ciudad de México,10915.23,1956.01,12871.24,Enero,Por Hora
N-011,Sofia Hernandez,Masculino,21,Puebla,22406.94,1908.68,24315.62,Enero,Por Hora
N-012,Sofia Lopez,Masculino,23,Guerrero,5678.94,8086.32,13765.259999999998,Enero,Tiempo Completo
N-013,Sofia Perez,Masculino,36,Tamaulipas,5807.32,5975.84,11783.16,Enero,Por Hora
N-014,Sofia Ramirez,Femenino,63,Tamaulipas,23649.79,8485.08,32134.870000000003,Enero,Tiempo Completo
N-015,Javier Rodriguez,Masculino,39,Tamaulipas,16905.57,8590.53,25496.1,Enero,Tiempo Completo
N-016,Daniela Gonzalez,Femenino,46,Ciudad de México,18338.02,9950.12,28288.14,Enero,Becario
N-017,Daniela Martinez,Femenino,18,Ciudad de México,14034.28,5946.44,19980.72,Enero,Tiempo Completo
N-018,Miguel Gonzalez,Masculino,34,Guerrero,16386.96,3219.05,19606.01,Enero,Por Hora
N-019,Rodrigo Martinez,Femenino,52,Michoacán,17551.01,3799.85,21350.859999999997,Enero,Tiempo Completo
N-020,Carlos Garcia,Femenino,47,Ciudad de México,19145.53,559.68,19705.21,Enero,Tiempo Completo
N-021,Rodrigo Flores,Masculino,38,Chihuahua,18146.59,7637.81,25784.4,Enero,Por Hora
N-022,Mariana Martinez,Masculino,41,Jalisco,14883.39,6848.71,21732.1,Enero,Tiempo Completo
N-023,Mariana Martinez,Masculino,32,Puebla,16037.44,4224.95,20262.39,Enero,Becario
N-024,Carlos Perez,Masculino,46,Nuevo León,18196.23,879.19,19075.42,Enero,Becario
N-025,Rodrigo Rodriguez,Masculino,25,Veracruz,11910.63,4993.19,16903.82,Enero,Por Hora
N-026,Javier Ramirez,Femenino,63,Guerrero,7961.26,759.69,8720.95,Enero,Tiempo Completo
N-027,Claudia Sanchez,Masculino,49,Ciudad de México,7887.14,445.09,8332.23,Enero,Tiempo Completo
N-028,Miguel Flores,Femenino,59,Sonora,10369.45,9204.29,19573.74,Enero,Por Hora
N-029,Maria Rodriguez,Masculino,27,Ciudad de México,22995.31,1997.09,24992.4,Enero,Tiempo Completo
N-030,Mariana Martinez,Masculino,27,Guerrero,22205.57,9857.11,32062.68,Enero,Tiempo Completo
N-031,Alejandro Flores,Masculino,28,Jalisco,6345.03,7157.44,13502.47,Enero,Tiempo Completo
N-032,Javier Hernandez,Masculino,58,Guerrero,20523.34,1246.98,21770.32,Enero,Becario
N-033,Javier Gonzalez,Femenino,61,Veracruz,21627.32,1692.91,23320.23,Enero,Becario
N-034,Miguel Flores,Femenino,43,Guerrero,20519.41,6597.06,27116.47,Enero,Tiempo Completo
N-035,Maria Hernandez,Femenino,60,Chihuahua,6440.68,6143.21,12583.89,Enero,Tiempo Completo
N-036,Carlos Rodriguez,Femenino,49,Puebla,22118.62,5468.55,27587.17,Enero,Tiempo Completo
N-037,Carlos Hernandez,Femenino,56,Nuevo León,8165.5,1776.97,9942.47,Enero,Por Hora
N-038,Javier Garcia,Femenino,25,Nuevo León,23675.98,8556.11,32232.09,Enero,Tiempo Completo
N-039,Javier Lopez,Masculino,24,Jalisco,22188.25,5869.71,28057.96,Enero,Becario
N-040,Maria Garcia,Masculino,49,Veracruz,13594.68,424.5,14019.18,Enero,Becario
N-041,Maria Ramirez,Femenino,27,Tamaulipas,9886.51,900.75,10787.26,Enero,Por Hora
N-042,Claudia Gonzalez,Femenino,44,Sonora,5789.73,1999.4,7789.129999999999,Enero,Tiempo Completo
N-043,Carlos Rodriguez,Femenino,34,Nuevo León,12847.63,3049.61,15897.24,Enero,Tiempo Completo
N-044,Javier Lopez,Masculino,35,Nuevo León,21671.83,8145.47,29817.300000000003,Enero,Por Hora
N-045,Javier Ramirez,Masculino,21,Veracruz,16261.41,1582.35,17843.76,Enero,Becario
N-046,Carlos Flores,Femenino,47,Tamaulipas,12017.09,6837.53,18854.62,Enero,Becario
N-047,Sofia Sanchez,Masculino,52,Puebla,22624.41,3220.67,25845.08,Enero,Becario
N-048,Maria Hernandez,Femenino,40,Jalisco,6075.3,3459.62,9534.92,Enero,Becario
N-049,Mariana Hernandez,Masculino,46,Nuevo León,11197.83,1863.33,13061.16,Enero,Por Hora
N-050,Rodrigo Rodriguez,Masculino,41,Puebla,5184.58,7354.85,12539.43,Enero,Becario
N-051,Sofia Martinez,Masculino,25,Guerrero,8373.27,3510.52,11883.79,Enero,Tiempo Completo
N-052,Maria Sanchez,Femenino,21,Ciudad de México,13652.67,1508.7,15161.37,Enero,Becario
N-053,Javier Martinez,Masculino,54,Ciudad de México,9256.28,3325.75,12582.03,Enero,Becario
N-054,Claudia Flores,Masculino,22,Chihuahua,9089.42,9167.54,18256.96,Enero,Tiempo Completo
N-055,Javier Perez,Masculino,26,Ciudad de México,18839.33,5479.68,24319.010000000002,Enero,Por Hora
N-056,Maria Garcia,Masculino,51,Puebla,5080.49,7890.08,12970.57,Enero,Tiempo Completo
N-057,Mariana Gonzalez,Masculino,38,Michoacán,5478.3,1332.0,6810.3,Enero,Tiempo Completo
N-058,Alejandro Rodriguez,Femenino,31,Michoacán,20544.54,758.76,21303.3,Enero,Tiempo Completo
N-059,Sofia Rodriguez,Femenino,40,Ciudad de México,12869.36,4688.22,17557.58,Enero,Tiempo Completo
N-060,Sofia Martinez,Femenino,27,Ciudad de México,20702.09,1006.08,21708.170000000002,Enero,Por Hora
N-061,Maria Ramirez,Masculino,40,Puebla,20297.15,8936.6,29233.75,Enero,Becario
N-062,Claudia Flores,Femenino,58,Chihuahua,12890.28,7505.88,20396.16,Enero,Tiempo Completo
N-063,Rodrigo Lopez,Femenino,62,Veracruz,24771.71,1538.38,26310.09,Enero,Por Hora
N-064,Alejandro Rodriguez,Femenino,20,Chihuahua,19176.78,1649.13,20825.91,Enero,Tiempo Completo
N-065,Rodrigo Sanchez,Femenino,48,Chihuahua,18058.73,9243.09,27301.82,Enero,Becario
N-066,Alejandro Sanchez,Femenino,19,Guerrero,6822.98,4931.49,11754.47,Enero,Por Hora
N-067,Javier Ramirez,Femenino,27,Puebla,22357.81,6499.66,28857.47,Enero,Por Hora
N-068,Alejandro Lopez,Femenino,44,Veracruz,9751.5,2305.08,12056.58,Enero,Por Hora
N-069,Mariana Lopez,Femenino,43,Chihuahua,16046.02,4878.54,20924.56,Enero,Por Hora
N-070,Alejandro Flores,Femenino,51,Chihuahua,24586.14,7372.14,31958.28,Enero,Becario
N-071,Miguel Sanchez,Masculino,22,Tamaulipas,13328.49,7143.18,20471.67,Enero,Becario
N-072,Javier Lopez,Masculino,34,Veracruz,16418.11,8948.01,25366.120000000003,Enero,Becario
N-073,Maria Ramirez,Femenino,49,Nuevo León,23505.29,5728.83,29234.120000000003,Enero,Becario
N-074,Alejandro Flores,Masculino,25,Ciudad de México,21736.1,6747.12,28483.219999999998,Enero,Tiempo Completo
N-075,Alejandro Hernandez,Femenino,64,Jalisco,23131.82,3956.21,27088.03,Enero,Tiempo Completo
N-076,Javier Rodriguez,Masculino,18,Chihuahua,6428.45,1529.58,7958.03,Enero,Becario
N-077,Maria Flores,Masculino,29,Jalisco,9690.4,7785.91,17476.309999999998,Enero,Becario
N-078,Sofia Hernandez,Femenino,62,Michoacán,18399.55,8912.95,27312.5,Enero,Tiempo Completo
N-079,Miguel Flores,Femenino,18,Tamaulipas,6689.68,9001.54,15691.220000000001,Enero,Becario
